Organization,PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Primacy Type,Primary Source,Activity Status,Deactivation Date,Population Served Count,Rule Name,Violation Code,Violation Type,Violation Category Code,Is Health Based,Contaminant Name,Compliance Period Begin Date,Compliance Period Begin Month,Quarter,Compliance Period Begin Day,Compliance Period Begin Year,Compliance Period End Date,Compliance Status,RTC Date,Enforcement Action Type Code,Enforcement Action Description,Is Major Violation,Severity Indicator Count,Public Notification Tier,Violation First Reported Date
FRCOG,MA1074000,DEERFIELD FIRE DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,300",Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Toxaphene,1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1074000,DEERFIELD FIRE DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,300",Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Dalapon,1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1074000,DEERFIELD FIRE DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,300",Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Diquat,1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1074000,DEERFIELD FIRE DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,300",Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Endothall,1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1074000,DEERFIELD FIRE DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,300",Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Glyphosate,1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1074000,DEERFIELD FIRE DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,300",Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Di(2-ethylhexyl) adipate,1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1074000,DEERFIELD FIRE DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,300",Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,OXAMYL,1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1074000,DEERFIELD FIRE DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,300",Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Simazine,1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1074000,DEERFIELD FIRE DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,300",Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Di(2-ethylhexyl) phthalate,1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1074000,DEERFIELD FIRE DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,300",Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Picloram,1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1074000,DEERFIELD FIRE DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,300",Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Dinoseb,1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1074000,DEERFIELD FIRE DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,300",Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Hexachlorocyclopentadiene,1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1074000,DEERFIELD FIRE DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,300",Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Aldicarb sulfoxide,1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1074000,DEERFIELD FIRE DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,300",Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Aldicarb sulfone,1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1074000,DEERFIELD FIRE DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,300",Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Carbofuran,1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1074000,DEERFIELD FIRE DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,300",Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Aldicarb,1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1074000,DEERFIELD FIRE DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,300",Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Atrazine,1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1074000,DEERFIELD FIRE DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,300",Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,LASSO,1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1074000,DEERFIELD FIRE DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,300",Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,"2,3,7,8-TCDD",1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1074000,DEERFIELD FIRE DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,300",Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Heptachlor,1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1074000,DEERFIELD FIRE DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,300",Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Heptachlor epoxide,1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1074000,DEERFIELD FIRE DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,300",Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,"2,4-D",1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1074000,DEERFIELD FIRE DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,300",Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,"2,4,5-TP",1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1074000,DEERFIELD FIRE DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,300",Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,HEXACHLOROBENZENE,1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1074000,DEERFIELD FIRE DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,300",Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Benzo(a)pyrene,1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1074000,DEERFIELD FIRE DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,300",Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Pentachlorophenol,1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1074000,DEERFIELD FIRE DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,300",Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Total Polychlorinated Biphenyls (PCB),1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1074000,DEERFIELD FIRE DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,300",Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,"1,2-DIBROMO-3-CHLOROPROPANE",1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1074000,DEERFIELD FIRE DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,300",Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,ETHYLENE DIBROMIDE,1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1217000,NORTHFIELD WATER DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,800,Nitrates,3,"Monitoring, Regular",MR,N,Nitrate,1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1217000,NORTHFIELD WATER DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,800,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Endrin,1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1217000,NORTHFIELD WATER DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,800,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,BHC-GAMMA,1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1217000,NORTHFIELD WATER DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,800,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Methoxychlor,1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1217000,NORTHFIELD WATER DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,800,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Toxaphene,1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1217000,NORTHFIELD WATER DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,800,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Dalapon,1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1217000,NORTHFIELD WATER DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,800,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Diquat,1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1217000,NORTHFIELD WATER DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,800,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Endothall,1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1217000,NORTHFIELD WATER DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,800,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Glyphosate,1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1217000,NORTHFIELD WATER DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,800,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Di(2-ethylhexyl) adipate,1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1217000,NORTHFIELD WATER DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,800,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,OXAMYL,1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1217000,NORTHFIELD WATER DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,800,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Simazine,1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1217000,NORTHFIELD WATER DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,800,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Di(2-ethylhexyl) phthalate,1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1217000,NORTHFIELD WATER DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,800,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Picloram,1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1217000,NORTHFIELD WATER DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,800,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Dinoseb,1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1217000,NORTHFIELD WATER DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,800,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Hexachlorocyclopentadiene,1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1217000,NORTHFIELD WATER DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,800,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Aldicarb sulfoxide,1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1217000,NORTHFIELD WATER DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,800,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Aldicarb sulfone,1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1217000,NORTHFIELD WATER DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,800,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Carbofuran,1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1217000,NORTHFIELD WATER DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,800,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Aldicarb,1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1217000,NORTHFIELD WATER DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,800,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Atrazine,1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1217000,NORTHFIELD WATER DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,800,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,LASSO,1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1217000,NORTHFIELD WATER DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,800,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,"2,3,7,8-TCDD",1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1217000,NORTHFIELD WATER DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,800,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Heptachlor,1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1217000,NORTHFIELD WATER DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,800,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Heptachlor epoxide,1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1217000,NORTHFIELD WATER DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,800,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,"2,4-D",1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1217000,NORTHFIELD WATER DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,800,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,"2,4,5-TP",1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1217000,NORTHFIELD WATER DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,800,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,HEXACHLOROBENZENE,1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1217000,NORTHFIELD WATER DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,800,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Benzo(a)pyrene,1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1217000,NORTHFIELD WATER DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,800,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Pentachlorophenol,1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1217000,NORTHFIELD WATER DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,800,Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,"1,2,4-Trichlorobenzene",1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1217000,NORTHFIELD WATER DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,800,Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,"cis-1,2-Dichloroethylene",1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1217000,NORTHFIELD WATER DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,800,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Total Polychlorinated Biphenyls (PCB),1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1217000,NORTHFIELD WATER DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,800,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,"1,2-DIBROMO-3-CHLOROPROPANE",1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1217000,NORTHFIELD WATER DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,800,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,ETHYLENE DIBROMIDE,1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1217000,NORTHFIELD WATER DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,800,Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,"Xylenes, Total",1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1217000,NORTHFIELD WATER DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,800,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Chlordane,1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1217000,NORTHFIELD WATER DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,800,Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,DICHLOROMETHANE,1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1217000,NORTHFIELD WATER DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,800,Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,o-Dichlorobenzene,1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1217000,NORTHFIELD WATER DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,800,Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,p-Dichlorobenzene,1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1217000,NORTHFIELD WATER DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,800,Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,Vinyl chloride,1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1217000,NORTHFIELD WATER DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,800,Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,"1,1-Dichloroethylene",1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1217000,NORTHFIELD WATER DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,800,Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,"trans-1,2-Dichloroethylene",1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1217000,NORTHFIELD WATER DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,800,Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,"1,2-Dichloroethane",1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1217000,NORTHFIELD WATER DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,800,Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,"1,1,1-Trichloroethane",1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1217000,NORTHFIELD WATER DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,800,Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,Carbon tetrachloride,1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1217000,NORTHFIELD WATER DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,800,Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,"1,2-Dichloropropane",1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1217000,NORTHFIELD WATER DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,800,Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,Trichloroethylene,1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1217000,NORTHFIELD WATER DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,800,Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,"1,1,2-Trichloroethane",1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1217000,NORTHFIELD WATER DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,800,Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,Tetrachloroethylene,1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
FRCOG,MA1217000,NORTHFIELD WATER DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,800,Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,CHLOROBENZENE,1-Apr-01,4,2,1,2001,30-Jun-01,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,-,3,27-Oct-01
